Agency_Aliases,Agency_Name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image
NCI,National Cancer Institute,https://www.cancer.gov/,"9609 Medical Center Drive 
Rockville, MD 20850",NCIinfo@nih.gov,  ,  ,1-800-422-6237,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
NHIC,National Health Information Center,https://health.gov/our-work/health-literacy/resources/national-health-information-center,"1101 Wooten Parkway 
Suite LL100 
Rockville, MD 20852",info@nhic.org,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
NIH,National Institutes of Health,https://www.nih.gov/,"9000 Rockville Pike 
Bethesda, MD 20892",  ,1-301-496-4000,1-301-402-9612,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,"National Institute of Mental Health;National Institute of Arthritis, Musculoskeletal and Skin Diseases;National Heart, Lung, and Blood Institute;National Institute of General Medical Sciences;National Institute of Diabetes and Digestive and Kidney Diseases;National Institute of Deafness and Other Communication Disorders;National Institute of Neurological Disorders and Stroke;National Eye Institute;Substance Abuse and Mental Health Services Administration",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
PCFSN,"President''s Council on Fitness, Sports and Nutrition",https://www.hhs.gov/fitness/index.html,"1101 Wootton Pkwy. 
Department W Tower Bldg., Suite 560 
Rockville, MD 20852","
fitness@hhs.gov","
1-240-276-9567",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
USCIS,United States Citizenship and Immigration Services,https://www.uscis.gov/,"Information and Customer Service Division 
111 Massachusetts Ave., NW 
MS 2260 
Washington, DC 20529-2260",  ,  ,1-800-767-1833,1-800-375-5283;1-877-247-4645,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
USCG; Coast Guard,United States Coast Guard,https://www.uscg.mil/,  ,  ,1-703-313-5800 ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,National Response Center,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
USCERT;CERT,Computer Emergency Readiness Team,https://us-cert.cisa.gov/,"Mailstop: 0635 
245 Murray Lane SW, Building 410 
Washington, DC 20598",info@us-cert.gov,1-703-235-5110,  ,1-888-282-0870,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
CBP,Customs and Border Protection,https://www.cbp.gov/,"1300 Pennsylvania Ave., NW 
Washington, DC 20229",  ,1-202-325-8000,1-866-880-6582,1-877-227-5511,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
CISA,Cybersecurity and Infrastructure Security Agency,https://www.cisa.gov/,"Cybersecurity and Infrastructure Security Agency, Stop 0380 
Department of Homeland Security 
245 Murray Lane 
Washington, DC 20528-0380",ciocccustomerservice@cisa.dhs.gov,1-202-282-9201,  ,1-888-282-0870,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
FEMA,Federal Emergency Management Agency,https://www.fema.gov/,"500 C St., SW 
Washington, DC 20472",  ,1-202-646-2500,1-800-462-7585,1-800-621-3362,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,National Flood Insurance Program;Fire Administration,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
FLETC,Federal Law Enforcement Training Center,https://www.fletc.gov/,"1131 Chapel Crossing Rd. 
Glynco, GA 31524",  ,1-912-267-2100,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
Federal Protective Service,Federal Protective Service,https://www.dhs.gov/topic/federal-protective-service,  ,  ,1-202-282-8000,1-202-282-8000,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
ICE,Immigration and Customs Enforcement,https://www.ice.gov/,"500 12th St., SW 
Washington, DC 20024",  ,1-802-872-6199,1-802-872-6196,1-866-347-2423,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
Secret Service,Secret Service,https://www.secretservice.gov/,"245 Murray Lane 
Washington, DC 20223",  ,"
1-202-406-5708",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
TSA,Transportation Security Administration,https://www.tsa.gov/,  ,tsa-contactcenter@dhs.gov,  ,  ,1-866-289-9673,Executive Department Sub-Office/Agency/Bureau,United States Department of Homeland Security,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png
CPD,Office of Community Planning and Development,https://www.hud.gov/program_offices/comm_planning,"451 7th St., SW 
Washington, DC 20410",  ,1-202-708-1112,1-202-708-1455,  ,"
Executive Department Sub-Office/Agency/Bureau",United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
FHEO,Office of Fair Housing and Equal Opportunity,https://www.hud.gov/program_offices/fair_housing_equal_opp,"451 7th St., SW 
Washington, DC 20410",  ,1-202-708-1112,1-202-708-1455,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
Ginnie Mae,Government National Mortgage Association,https://www.ginniemae.gov/pages/default.aspx,"451 7th St., SW 
Room B-133 
Washington, DC 20410",  ,1-202-708-1535,  ,1-888-446-6434;1-800-234-4662 ,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
MHS,Office of Manufactured Housing Programs,https://www.hud.gov/program_offices/housing/rmra/mhs/mhshome,"Office of Deputy Assistant Secretary for Regulatory Affairs and Manufactured Housing 
451 7th St., SW 
Room 9164 
Washington, DC 20410-8000",mhs@hud.gov,1-202-708-1112,1-202-708-1455,1-800-927-2891,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
Multifamily Housing Office,Multifamily Housing Office,https://www.hud.gov/program_offices/housing/mfh,  ,  ,1-202-708-1112,1-202-708-1455,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
Office of Lead Hazard Control and Healthy Homes,Office of Lead Hazard Control and Healthy Homes,"https://www.hud.gov/program_offices/healthy_homes#:~:text=The%20Office%20of%20Lead%20Hazard,reduce%20lead%2Dbased%20paint%20hazards.","451 7th St., SW 
Washington, DC 20410",  ,  ,1-202-708-1455,1-202-708-1112;1-800-424-5323,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
Office of Policy Development and Research,Office of Policy Development and Research,https://www.huduser.gov/portal/home.html,"HUD U.S.ER 
P.O. Box 23268 
Washington, DC 20026-3268",helpdesk@huduser.org,"
1-202-708-3178","
1-800-927-7589",1-800-245-2691,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
Public and Indian Housing,Public and Indian Housing,https://www.hud.gov/program_offices/public_indian_housing,"451 7th St., SW 
Washington, DC 20410",  ,  ,  ,"
1-800-955-2232",Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png
ATF,"Bureau of Alcohol, Tobacco, Firearms and Explosives",https://www.atf.gov/,"99 New York Ave., NE 
Washington, DC 20226",ATFTips@atf.gov,1-202-648-7777,  ,1-800-800-3855,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
ATR,Antitrust Division,https://www.justice.gov/atr,"950 Pennsylvania Ave., NW 
Washington, DC 20530-0001",antitrust.atr@usdoj.gov,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
BOP,Bureau of Prisons,https://www.bop.gov/,"320 First St., NW 
Washington, DC 20534",info@bop.gov,1-202-307-3198,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,National Institute of Corrections,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
CRT,"Civil Rights Division, United States Department of Justice",https://www.justice.gov/crt,"950 Pennsylvania Avenue, NW 
Washington, DC 20530",  ,1-202-514-4609,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
COPS,Community Oriented Policing Services,https://www.cops.usdoj.gov/,"145 N St., NE 
Washington, DC 20530",askCopsRC@usdoj.gov,1-800-421-6770,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
DEA,Drug Enforcement Administration,https://www.dea.gov/,"8701 Morrissette Drive 
Springfield, VA 22152",  ,1-202-307-1000,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
Elder Justice Initiative,Elder Justice Initiative,https://www.justice.gov/elderjustice,"950 Pennsylvania Avenue, NW 
Washington, DC 20530-0001",  ,1-202-514-2000,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
EOIR,Executive Office for Immigration Review,https://www.justice.gov/eoir,"Office of Legislative and Public Affairs 
5107 Leesburg Pike, Suite 1902 
Falls Church, VA 22041",  ,1-703-305-0289,1-800-828-1120,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
FBI,Federal Bureau of Investigation,https://www.fbi.gov/,"935 Pennsylvania Ave., NW 
Washington, DC 20535-0001",  ,1-202-324-3000,  ,1-800-225-5324,Executive Department Sub-Office/Agency/Bureau,United States Department of Justice,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Seal_of_the_United_States_Department_of_Justice.svg/1024px-Seal_of_the_United_States_Department_of_Justice.svg.png
